0;41;467
1;334;500
2;169;724
3;478;358
4;962;464
5;705;145
6;281;827
7;961;491
8;995;942
9;827;436
10;391;604
11;902;153
12;292;382
13;421;716
14;718;895
15;447;726
16;771;538
17;869;912
18;667;299
19;35;894
20;703;811
21;322;333
22;673;664
23;141;711
24;253;868
25;547;644
26;662;757
27;37;859
28;723;741
29;529;778
30;316;35
31;190;842
32;288;106
33;40;942
34;264;648
35;446;805
36;890;729
37;370;350
38;6;101
39;393;548
40;629;623
41;84;954
42;756;840
43;966;376
44;931;308
45;944;439
46;626;323
47;537;538
48;118;82
49;929;541
